Date,Year,Month,Latitude,Longitude,chlor_a_mg_m3,spm_mg_L,turbidity_FNU,Transect
2026-02-15,2026,2,40.85,35.9,0.801,4.399,0.575,Grid_A
2026-02-15,2026,2,40.85,35.98594,0.813,4.593,0.522,Grid_A
2026-02-15,2026,2,40.85,36.07187,0.753,4.57,0.578,Grid_A
2026-02-15,2026,2,40.85,36.15781,0.841,4.164,0.564,Grid_A
2026-02-15,2026,2,40.85,36.24375,0.793,4.52,0.58,Grid_A
2026-02-15,2026,2,40.85,36.32969,0.827,4.478,0.616,Grid_A
2026-02-15,2026,2,40.85,36.41562,0.88,4.292,0.586,Grid_A
2026-02-15,2026,2,40.85,36.50156,0.847,4.646,0.578,Grid_A
2026-02-15,2026,2,40.85,36.5875,0.829,4.227,0.591,Grid_A
2026-02-15,2026,2,40.85,36.67344,0.764,4.659,0.566,Grid_A
2026-02-15,2026,2,40.85,36.75937,0.832,4.635,0.599,Grid_A
2026-02-15,2026,2,40.85,36.84531,0.804,4.543,0.63,Grid_A
2026-02-15,2026,2,40.85,36.93125,0.816,4.604,0.59,Grid_A
2026-02-15,2026,2,40.85,37.01719,0.877,4.629,0.588,Grid_A
2026-02-15,2026,2,40.85,37.10312,0.84,4.58,0.645,Grid_A
2026-02-15,2026,2,40.85,37.18906,0.841,4.365,0.626,Grid_A
2026-02-15,2026,2,40.85,37.275,0.918,4.895,0.589,Grid_A
2026-02-15,2026,2,40.85,37.36094,0.839,4.664,0.619,Grid_A
2026-02-15,2026,2,40.85,37.44687,0.868,4.615,0.6,Grid_A
2026-02-15,2026,2,40.85,37.53281,0.895,4.473,0.606,Grid_A
2026-02-15,2026,2,40.85,37.61875,0.815,4.835,0.631,Grid_A
2026-02-15,2026,2,40.85,37.70469,0.899,4.569,0.601,Grid_A
2026-02-15,2026,2,40.85,37.79062,0.849,4.704,0.64,Grid_A
2026-02-15,2026,2,40.85,37.87656,0.803,4.85,0.616,Grid_A
2026-02-15,2026,2,40.85,37.9625,0.848,5.003,0.587,Grid_A
2026-02-15,2026,2,40.85,38.04844,0.89,4.846,0.624,Grid_A
2026-02-15,2026,2,40.85,38.13437,0.863,5.041,0.697,Grid_A
2026-02-15,2026,2,40.85,38.22031,0.927,5.188,0.633,Grid_A
2026-02-15,2026,2,40.85,38.30625,0.824,4.814,0.674,Grid_A
2026-02-15,2026,2,40.85,38.39219,0.817,4.653,0.636,Grid_A
2026-02-15,2026,2,40.85,38.47812,0.909,4.898,0.641,Grid_A
2026-02-15,2026,2,40.85,38.56406,0.905,4.638,0.652,Grid_A
2026-02-15,2026,2,40.85,38.65,0.851,4.851,0.646,Grid_A
2026-02-15,2026,2,40.85,38.73594,0.932,4.89,0.664,Grid_A
2026-02-15,2026,2,40.85,38.82187,0.979,4.986,0.663,Grid_A
2026-02-15,2026,2,40.85,38.90781,0.888,4.687,0.674,Grid_A
2026-02-15,2026,2,40.85,38.99375,0.927,4.554,0.645,Grid_A
2026-02-15,2026,2,40.85,39.07969,0.898,4.732,0.683,Grid_A
2026-02-15,2026,2,40.85,39.16562,0.929,4.941,0.699,Grid_A
2026-02-15,2026,2,40.85,39.25156,0.902,4.97,0.663,Grid_A
